1, 9780470059029
2, 4780470059029
3, 978 0 471 48648 0
4, 978-0596809485
5, 978-0-13-149505-0
6, 978-0-262-13472-9
7, 7465905
8, 00000000
9, 7987022-78962-ds-22
10, 0471958697
11, 0 471 60695 2
12, 0-470-84525-2
13, 0-321-14653-0
14, 877195869x
15, 877195x869
17, 877195869xx
18, 877195@869x
1, 9780470059029
2, 4780470059029
3, 978 0 471
4, 978-059680
5, 978-0-13-149
6, 978-0-262-1
7, 7465
8, 00000
9, 7987022-78962
10, 047195
11, 0 471 60
12, 0-470-84
13, 0-321-1465
14, 877195
15, 877195
17, 8771958
18, 877195@8
